t34446aep|VIAAT_XENLA
t15592aep|KCNK9_RAT
t4837aep|WHITE_DROME
t4845aep|S2535_DANRE
t4865aep|IQEC1_HUMAN
t13995aep|FBP1_STRPU
t13993aep|PTHD3_MOUSE
t12322aep|CALMS_CHICK
t5687aep|PCDL_ACRMI
t15687aep|EVA1C_MOUSE
t12945aep|SYT16_HUMAN
t12948aep|FOXN4_DANRE
t1608aep|ACHA7_MACMU
t1648aep|HPSE_BOVIN
t9380aep|LCA5_MOUSE
t9356aep|BAT1_HUMAN
t9385aep|LAC1_PHLRA
t9388aep|ANPRA_MOUSE
t9148aep|LONF3_HUMAN
t9129aep|TP4A1_PONAB
t7488aep|PPR27_MOUSE
t7482aep|B4GN3_HUMAN
t9091aep|CC067_MOUSE
t9115aep|DNMBP_MOUSE
t9094aep|FBXL2_PONAB
t4289aep|CD5R1_BOVIN
t4274aep|FAN_HUMAN
t4263aep|SPAN_STRPU
t11187aep|NAPEP_PONAB
t11194aep|CUBN_HUMAN
t11191aep|CLVS1_XENLA
t11179aep|IFT88_MOUSE
t17518aep|CPO_DROME
t17544aep|DEAF1_RAT
t17550aep|PCSK7_HUMAN
t17510aep|BAX_BOVIN
t5430aep|LRRC7_RAT
t10528aep|PSD10_DICDI
t10502aep|CC030_HUMAN
t10504aep|ACT_CYAM1
t10517aep|SIPL5_ORYSJ
t10484aep|NXNL2_MOUSE
t21690aep|MFS10_BOVIN
t21666aep|CYSP1_HOMAM
t21298aep|DDR2_MOUSE
t21307aep|VAB1_CAEEL
t2416aep|JPH3_MOUSE
t2415aep|MYO9B_RAT
t2396aep|VIAAT_XENLA
t313aep|DAAM1_MOUSE
t292aep|ABHD2_MOUSE
t23837aep|SOX2_CAEEL
t23815aep|AGTRB_XENLA
t20368aep|CPEB1_PONAB
t20345aep|NCAN_MOUSE
t20348aep|LRIG3_MOUSE
t12130aep|PLPL2_BOVIN
t12134aep|KCNA2_HUMAN
t13688aep|HMCN1_HUMAN
t17293aep|CSL3_ONCKE
t15432aep|ATOH8_DANRE
t15418aep|CHI2_TOBAC
t15431aep|PROP1_THEGE
t15428aep|GGT1_HUMAN
t23378aep|EVA1C_HUMAN
t13660aep|NAPEP_BOVIN
t23412aep|ACVR1_HUMAN
t23406aep|TGMH_TACTR
t23418aep|CML25_ARATH
t6940aep|NPFF2_HUMAN
t7373aep|GBRP_BOVIN
t6938aep|ACHA2_HUMAN
t11859aep|GSH1_MOUSE
t11867aep|FKRP_MOUSE
t11884aep|PLK1_RAT
t11873aep|PKD2_BOVIN
t11892aep|KCNAW_DROME
t13280aep|SPEG_HUMAN
t13269aep|G3ST3_MOUSE
t13303aep|NADA_APLKU
t22695aep|NGB_CANLF
t22669aep|CALM_PYTSP
t22665aep|PTHB1_MOUSE
t9657aep|NPYR_DROME
t5618aep|NADA_APLCA
t5655aep|MPDZ_MOUSE
t5643aep|MYPT1_CHICK
t26338aep|GAPR1_MOUSE
t18930aep|BMR1B_CHICK
t12780aep|GSH1_MOUSE
t27762aep|HMCN1_HUMAN
t12786aep|TM175_CHICK
t12779aep|ATF3_HUMAN
t7388aep|PRSS8_RAT
t12743aep|MIPO1_HUMAN
t12751aep|S6A13_MOUSE
t18693aep|ARHGA_MOUSE
t18682aep|CSL3_ONCKE
t18683aep|LPHN_DROMO
t18705aep|P3C2A_MOUSE
t18694aep|DAB2P_MOUSE
t6110aep|PRB1_ARATH
t6129aep|SELO_MOUSE
t14113aep|TBC24_HUMAN
t14149aep|CAPON_MOUSE
t5368aep|KCNA1_HUMAN
t6225aep|KPCD1_HUMAN
t26036aep|VA52_VESCR
t26038aep|KCNAL_DROME
t6244aep|AB22G_ARATH
t6208aep|GAPR1_MOUSE
t2097aep|LITAF_RAT
t2091aep|AHV_ACTSK
t24398aep|CTRC_BOVIN
t2123aep|CHST1_HUMAN
t10841aep|RET_HUMAN
t10793aep|TIMP3_HORSE
t10828aep|KCNAG_CAEEL
t10831aep|HTK7_HYDVU
t10801aep|NAS6_CAEEL
t27278aep|CHST1_MOUSE
t5124aep|DIX1A_DANRE
t5143aep|CALM_SCHPO
t8825aep|H3_URECA
t8821aep|SC4AB_TAKRU
t8878aep|MMP9_MOUSE
t8834aep|HRH2_MOUSE
t8845aep|M21D2_MOUSE
t6581aep|RFIP3_MOUSE
t6553aep|ARH_HUMAN
t6572aep|S12A2_HUMAN
t6586aep|KDIS_DANRE
t6582aep|TBC16_HUMAN
t6548aep|AGRD1_MOUSE
t6552aep|LIP_RHIMI
t6594aep|FBP1_STRPU
t6538aep|POPD1_DANRE
t18235aep|ODP2_HUMAN
t18238aep|NAS4_CAEEL
t18245aep|PRS38_MOUSE
t258aep|PDE3A_RAT
t247aep|KCC4_RAT
t249aep|IP6K1_RAT
t12220aep|STIMA_HUMAN
t253aep|KKCC2_RAT
t278aep|LMBL3_HUMAN
t22223aep|MPDZ_HUMAN
t22189aep|PA2A2_HELSU
t22193aep|H10_HUMAN
t22224aep|SOX2_CHICK
t30670aep|ZDHC5_DICDI
t22196aep|TT39B_XENTR
t22081aep|CAN15_HUMAN
t22076aep|PPA2_ARATH
t22047aep|KIF5_DICDI
t4198aep|RGS19_RAT
t10388aep|ZN570_HUMAN
t10603aep|GRM7_HUMAN
t10592aep|HECD2_PONAB
t10618aep|NALD2_MOUSE
t10597aep|SYT9_HUMAN
t22953aep|NECA_HYDVU
t22944aep|CGAT1_MOUSE
t22948aep|VP302_LYCMC
t22955aep|BAKOR_RAT
t22968aep|CTXA_CARAL
t22940aep|PPIB_BOVIN
t22979aep|HSP31_CANAL
t3768aep|GAPR1_HUMAN
t3796aep|IFT46_DANRE
t3759aep|FMAR_DROME
t6510aep|GRM3_MACFA
t6512aep|PGFS_TRYCC
t6484aep|Z324A_HUMAN
t6509aep|RAH1C_ARATH
t12197aep|TT21B_HUMAN
t12196aep|PRRT1_RAT
t8942aep|SVEP1_MOUSE
t8943aep|NRBP_MOUSE
t8955aep|SOX8_XENLA
t8950aep|PTN21_RAT
t8809aep|MPRI_MOUSE
t8798aep|RNF32_MACFA
t8805aep|SNX14_DANRE
t8774aep|CEP89_MOUSE
t8814aep|OTOGL_HUMAN
t10444aep|KDM8_HUMAN
t9969aep|KCNAW_DROME
t9951aep|S2544_MOUSE
t9968aep|DYRK4_HUMAN
t10445aep|ABHD4_MOUSE
t816aep|ADRB2_CAVPO
t24089aep|C5AR1_PONPY
t833aep|KCNC1_HUMAN
t857aep|CCD62_HUMAN
t822aep|CC173_HUMAN
t642aep|S6A19_PONAB
t673aep|RDHE2_MOUSE
t6013aep|SEM5B_HUMAN
t5971aep|RTN4_HUMAN
t6021aep|TOR1A_HUMAN
t5991aep|DIRA2_HUMAN
t18278aep|PLPP_MOUSE
t18258aep|RAB3C_HUMAN
t2458aep|RECK_MOUSE
t2466aep|RNF25_HUMAN
t18494aep|SPAN_STRPU
t18510aep|BIC1B_XENLA
t3902aep|MBOA5_HUMAN
t3870aep|GGT1_HUMAN
t11146aep|TXND3_CIOIN
t11117aep|PERI_HYDVU
t11140aep|AGRE2_CANLF
t11120aep|DGKB_MOUSE
t14797aep|HCE1_ORYLA
t14802aep|CTR2_HUMAN
t14793aep|PDE5_CAEEL
t14777aep|I5P2_MOUSE
t14822aep|M3K12_MOUSE
t14786aep|GRAM3_HUMAN
t14785aep|ANTA_HYDVU
t14819aep|VIP2_XENLA
t23160aep|CAH9_MOUSE
t23172aep|SOX14_MOUSE
t23133aep|RBM38_HUMAN
t23176aep|LAMC_DROME
t23177aep|LAMC_DROME
t84aep|CPT1A_MOUSE
t23146aep|RASEF_XENTR
t10975aep|ZYG11_DANRE
t10938aep|TECT3_MACFA
t27304aep|TAAR6_HUMAN
t10942aep|AA2AR_CANLF
t15309aep|E13C_TOBAC
t15291aep|SAAR2_ACRMI
t68aep|MGT5A_HUMAN
t6188aep|CSL3_ONCKE
t6191aep|KCNA2_ONCMY
t6177aep|KCNB2_MOUSE
t21931aep|CAH2_TRIHK
t21920aep|ITPR1_BOVIN
t21913aep|MCPI_MELCP
t21914aep|MCPI_MELCP
t21915aep|MCPI_MELCP
t21940aep|WDR47_HUMAN
t21633aep|K0825_HUMAN
t21629aep|COEA1_HUMAN
t21603aep|PKHG7_HUMAN
t21655aep|FLNC_HUMAN
t21631aep|RSPH1_MOUSE
t18392aep|GALT1_RAT
t18435aep|NOSTN_HUMAN
t18417aep|MDM2_HORSE
t18406aep|CRUM2_HUMAN
t13522aep|ESYT2_HUMAN
t13546aep|ARF_CANAL
t13547aep|ARF_CANAL
t13517aep|ADRB2_TSCTR
t13543aep|AGRD1_BOVIN
t13532aep|KCNAS_DROME
t16931aep|OAT_HUMAN
t16902aep|PLBL2_MOUSE
t16905aep|DMRT2_HUMAN
t16900aep|CELR2_HUMAN
t16925aep|COMI_DICDI
t16890aep|ZN143_XENTR
t23474aep|OTP_LYTVA
t23504aep|KI26A_MOUSE
t23468aep|BTBD9_HUMAN
t23506aep|DSK1_CYLFU
t23491aep|STPG2_DANRE
t23488aep|ZFY27_HUMAN
t10404aep|GFI1B_MOUSE
t22993aep|ADCY3_HUMAN
t23020aep|BAIP3_HUMAN
t23046aep|AGUA_STRAW
t22999aep|TYRO_STRLN
t23002aep|S35G1_HUMAN
t23041aep|FGFR1_HUMAN
t23023aep|SWAHA_MOUSE
t21000aep|ADRB2_BOVIN
t21038aep|CFAD_DICDI
t6401aep|TEKT1_CANLF
t6369aep|DEFI8_BOVIN
t6402aep|ZIFL1_ARATH
t6390aep|TXNIP_PONAB
t16045aep|ADCY5_CANLF
t17469aep|AVL9_PONAB
t17448aep|IDLC_STRPU
t17490aep|QRIC2_HUMAN
t12448aep|AA2AR_HORSE
t27702aep|CYT_BITAR
t27698aep|GULP1_DANRE
t12472aep|MAST2_HUMAN
t12443aep|FBP1_STRPU
t12452aep|ADRB2_BOVIN
t7968aep|ETHE1_ARATH
t7978aep|DOCK9_MOUSE
t8001aep|VW5B2_MOUSE
t7990aep|H4_DENKL
t8020aep|PAK4_MOUSE
t9765aep|PA23_HELSU
t9738aep|S6A13_RAT
t15642aep|NAS6_CAEEL
t15665aep|CNTP5_CANLF
t15652aep|KCNAW_DROME
t15656aep|TBC24_XENLA
t15620aep|CAN7_MOUSE
t15637aep|SL9A2_HUMAN
t15612aep|FUCTA_DROME
t17068aep|BICR1_DANRE
t17074aep|ARBK2_BOVIN
t17077aep|MCTP2_HUMAN
t17093aep|TTLL9_RAT
t17102aep|ATS6_HUMAN
t17085aep|HCN4_RABIT
t17101aep|CNTP2_HUMAN
t17071aep|AL4A1_BOVIN
t8218aep|M3K1_HUMAN
t8235aep|GAPR1_HUMAN
t8260aep|HYALP_MACFA
t8242aep|EXTL3_HUMAN
t8226aep|SNX29_BOVIN
t8264aep|PROD_MOUSE
t7059aep|MUC2_RAT
t7063aep|GCY_STRPU
t7099aep|KLH20_XENLA
t11531aep|MORN3_BOVIN
t11526aep|ADA2A_DANRE
t11508aep|MPRI_BOVIN
t11509aep|LECH_CHICK
t11528aep|3BP5H_DROME
t11545aep|ASIC1_CAEEL
t2315aep|PAE9_ARATH
t2262aep|OPN4_PHOSU
t2286aep|ACHA6_MOUSE
t2303aep|GAPR1_HUMAN
t12268aep|HD_MOUSE
t12272aep|BAT1_MOUSE
t12239aep|E41L4_DANRE
t12252aep|GALT5_DROME
t27633aep|KCNA2_HUMAN
t12276aep|ESPN_MOUSE
t12238aep|PKHA7_DANRE
t7155aep|P2RY6_MOUSE
t18135aep|VGLU1_XENLA
t29291aep|SP4_MOUSE
t29294aep|NDUA4_DANRE
t18134aep|FTM_HUMAN
t18114aep|S36A1_MOUSE
t3139aep|ANTA_HYDVU
t3141aep|KCP4_PINMG
t3150aep|B3GN4_HUMAN
t3175aep|PTPRB_MOUSE
t3164aep|EVA1C_MOUSE
t5212aep|ASIC1_RAT
t5232aep|SCUB2_DANRE
t5178aep|GCYA2_RAT
t5183aep|CGAT2_HUMAN
t5193aep|NGB_DANRE
t479aep|CASD1_MOUSE
t527aep|SCNA_ELEEL
t9842aep|OAS1_HUMAN
t9854aep|LITD1_HUMAN
t9857aep|G3ST3_MOUSE
t9817aep|GRM3_MOUSE
t9818aep|CASR_RAT
t9838aep|M3K7_MOUSE
t144aep|ANXA5_CHICK
t96aep|ASI1C_DANRE
t179aep|NAGAB_CHICK
t174aep|NOTCH_DROME
t135aep|ANO7_RAT
t17225aep|LOX5_MESAU
t22652aep|TBD2B_MOUSE
t22626aep|MEP1B_MOUSE
t364aep|BOK_CHICK
t22593aep|ARRD3_MOUSE
t30782aep|LBP_HUMAN
t22632aep|LAMB1_MOUSE
t18337aep|CEL3B_MOUSE
t18356aep|CHIA_MOUSE
t18370aep|ANKR7_MOUSE
t18364aep|ASIC1_OPSTA
t18338aep|CAC1A_APIME
t18342aep|PABP8_ARATH
t18373aep|AA2AR_CANLF
t18366aep|PTPRF_DANRE
t18367aep|PTPRF_DANRE
t21744aep|EQST_ACTEQ
t21769aep|COEA1_CHICK
t21742aep|NAS13_CAEEL
t26795aep|LRC57_XENLA
t9280aep|SO4A1_MOUSE
t9273aep|KCNA7_MOUSE
t9289aep|TOB1A_XENLA
t17737aep|UBE3B_MOUSE
t29806aep|GGT1_RAT
t17749aep|H2AL_STRPU
t17725aep|TRA1_MAIZE
t29203aep|FKRP_MOUSE
t1302aep|SPAN_STRPU
t1263aep|CATL1_BOVIN
t1256aep|MRC2_RAT
t1299aep|VP13B_HUMAN
t20025aep|PDE6_DROMO
t20049aep|AB22G_ARATH
t20019aep|HCN4_RABIT
t20079aep|FRS2_MOUSE
t20048aep|KIF7_DICDI
t20071aep|MOS1T_DROMA
t19990aep|K1468_MOUSE
t20046aep|TBA1_PARLI
t911aep|ANR28_HUMAN
t1420aep|F214A_XENTR
t1396aep|LRMP_DANRE
t1415aep|PPM1D_HUMAN
t1422aep|DISP1_DANRE
t1451aep|OGFD2_XENTR
t2717aep|ANO7_MOUSE
t2635aep|NUDT9_HUMAN
t2619aep|PIP1_DROME
t2650aep|NMDZ1_HUMAN
t2669aep|S2611_HUMAN
t2667aep|RAP1B_CYPCA
t13859aep|KIFA3_STRPU
t20869aep|FAAH_ARATH
t15075aep|HMCN1_HUMAN
t15071aep|HECW2_MOUSE
t15088aep|ANO7_RAT
t15046aep|CROCC_MOUSE
t15078aep|S36A1_HUMAN
t15028aep|CAC1A_APIME
t15775aep|SYT11_HUMAN
t15850aep|SCML2_HUMAN
t15827aep|HMCN1_HUMAN
t15836aep|CEL2A_RAT
t15831aep|LIPP_HORSE
t15785aep|PTN13_HUMAN
t16220aep|GPR98_HUMAN
t16202aep|AMDB_XENLA
t16167aep|CHI2_RHIOL
t16136aep|MEG10_XENTR
t14927aep|TRI67_MOUSE
t14910aep|MGT5A_HUMAN
t1039aep|MY18A_HUMAN
t7855aep|GPSM2_HUMAN
t7884aep|RET_HUMAN
t26482aep|T150C_HUMAN
t7872aep|CDO1_DANRE
t3040aep|PGBD4_HUMAN
t3009aep|ANS1B_HUMAN
t14700aep|CNTP2_PONAB
t5804aep|TRA1_MAIZE
t5823aep|MARHB_RAT
t11283aep|S4A10_BOVIN
t5839aep|RNF13_BOVIN
t5852aep|RTBS_DROME
t4831aep|ZMYM1_HUMAN
t22447aep|ZSWM3_MOUSE
t11396aep|AL14E_BOVIN
t11402aep|P52K_HUMAN
t11415aep|YRD6_CAEEL
t11453aep|BP10_PARLI
t8684aep|GILT_BOVIN
t1955aep|SHOT1_RAT
t28031aep|EPG5_DANRE
t28020aep|STING_NEMVE
t30156aep|PLCB3_HUMAN
t4924aep|NOGG3_DANRE
t4933aep|GPX3_HYLLA
t19273aep|SAP3_MACFA
t19268aep|CALM_CHLRE
t19256aep|GFP_AEQVI
t19289aep|BRE4_CAEBR
t19305aep|GAPR1_MOUSE
t9559aep|CALB2_RAT
t9541aep|MYPH_ECHGR
t14998aep|SRA1_HUMAN
t14976aep|NDF1_DANRE
t14980aep|BTG1_CHICK
t14973aep|PCR4_ARATH
t13122aep|HTXA_PSEST
t13144aep|I4E3B_XENLA
t13102aep|ECE2_HUMAN
t27844aep|DRD5_MOUSE
t13136aep|HPSE_BOVIN
t12881aep|FCA1_TRYRA
t12864aep|PHNX_SYNFM
t12860aep|5HT1R_DROME
t12863aep|TIMP3_SCYTO
t12852aep|CRIS2_HUMAN
t22378aep|INSM1_XENTR
t22400aep|RAB28_PONAB
t22384aep|SECG_DICDI
t30714aep|GBTR_ACIAD
t3489aep|ZC4H2_MOUSE
t14197aep|NLK_RAT
t14222aep|BACE2_MOUSE
t30428aep|CALM2_PETHY
t14211aep|NAS4_CAEEL
t13380aep|CAH6_MOUSE
t13359aep|ZIC4_HUMAN
t6825aep|YJV1_SCHPO
t6819aep|ADRB2_HUMAN
t3565aep|CBPB1_PIG
t3556aep|GAS8_HUMAN
t16321aep|CAH2_TRIHK
t18441aep|DUS22_HUMAN
t28039aep|MYCBP_MOUSE
t28043aep|AEF1_DROME
t24159aep|DNER_HUMAN
t1181aep|ACO32_ARATH
t4588aep|QSOX1_MOUSE
t21732aep|THIO_PLAF7
t21731aep|ARL8_DICDI
t13021aep|LACE1_MOUSE
t1191aep|CNRP1_MACFA
t10146aep|PTF1A_DANRE
t11207aep|CALM2_BRALA
t17230aep|BRAF_HUMAN
t6642aep|NRX1A_MOUSE
t12707aep|PUT2_TAKRU
t12734aep|RISC_HUMAN
t22135aep|RSGI5_CLOTH
t22154aep|TLL1_DANRE
t22102aep|EFNB2_MOUSE
t22116aep|ETV1_MOUSE
t22129aep|ACOC_MOUSE
t22112aep|CTRB1_HUMAN
t22149aep|NAS4_CAEEL
t22100aep|AMPN_BOVIN
t22117aep|DKK3_MOUSE
t22111aep|CAB32_DROME
t596aep|SPAN_STRPU
t571aep|CSCL2_ARATH
t4155aep|I5P1_HUMAN
t4162aep|KLF8_HUMAN
t5251aep|SP4_MOUSE
t5247aep|SC5A7_CAEEL
t5276aep|PLCG1_RAT
t5274aep|UBE2H_MOUSE
t5266aep|P4HTM_MOUSE
t5255aep|MGT4A_XENLA
t5249aep|DNA2_ACAPL
t14593aep|ZBED4_HUMAN
t14594aep|ARGI_LITCT
t14606aep|FLVC1_HUMAN
t17959aep|FUCO_BRAFL
t17979aep|WDR26_DANRE
t17964aep|JUN_AVIS1
t21196aep|NPRL3_MOUSE
t23089aep|TMC7_MOUSE
t11962aep|ECE1_MOUSE
t11975aep|AGRB3_HUMAN
t9870aep|NRX3A_HUMAN
t9888aep|PPR3E_MOUSE
t21185aep|YPC2_CAEEL
t8745aep|B3GN4_MOUSE
t381aep|FOXJ1_HUMAN
t377aep|PDK2_RAT
t17625aep|ACTPC_ACTTE
t17628aep|CG062_MOUSE
t21192aep|HUTH_HUMAN
t20144aep|VGLU3_DANRE
t9621aep|DAND5_XENTR
t10853aep|ASL1B_DANRE
t7659aep|PACRG_MOUSE
t28932aep|PRP46_EMENI
t28940aep|DKK3_CHICK
t12587aep|S39A6_RAT
t12614aep|ASAL_ALLSA
t12596aep|TSP2_MOUSE
t12595aep|SAP3_MACFA
t22737aep|TXD12_HUMAN
t22777aep|KCNG2_CHICK
t22763aep|CATL_SARPE
t22769aep|PLCX1_ARTBC
t22780aep|BHMT1_XENLA
t6790aep|ECE1_BOVIN
t6756aep|TEST_MOUSE
t20534aep|ATS6_HUMAN
t20535aep|MEP1B_MOUSE
t19191aep|CDIPT_RAT
t19171aep|NDUA4_DANRE
t19198aep|PCR5_ARATH
t14094aep|SOCS2_HUMAN
t14095aep|APX1_HYDVD
t14071aep|PXN1_XENLA
t14110aep|PIGL_MOUSE
t14109aep|RLGM2_TRYB2
t1930aep|COSA1_HUMAN
t11032aep|PK2L1_HUMAN
t2917aep|SUP9_CAEEL
t16350aep|CNDP2_MOUSE
t11658aep|MSHR_PAPAN
t11636aep|GGP3_ARATH
t11640aep|ARSB_RAT
t11659aep|TC1D3_MOUSE
t6314aep|KCNA2_ONCMY
t6319aep|NGB_RAT
t21339aep|HEXA_HUMAN
t21368aep|INX3_DROME
t13057aep|RERG_HUMAN
t13061aep|FBX48_MOUSE
t695aep|TREC_BACSU
t731aep|PA2_APIDO
t24759aep|KCND3_RAT
t20440aep|BAT36_CAEEL
t28874aep|WNT2B_CHICK
t12082aep|SVEP1_MOUSE
t12079aep|CBPA2_RAT
t12084aep|SOX14_MOUSE
t12070aep|ATP7A_HUMAN
t760aep|MCU_DANRE
t752aep|KAP1_HUMAN
t15247aep|CELR2_RAT
t15260aep|COMA_CONMA
t15237aep|SLB_PROJR
t15231aep|GSH0_RAT
t2352aep|AGRIN_CHICK
t20192aep|ANK1_HUMAN
t20186aep|YXIE_BACSU
t20198aep|CTRB_BOVIN
t20215aep|VIAAT_XENLA
t20170aep|RGS7_HUMAN
t15960aep|S15A2_RAT
t3998aep|NPT2A_RAT
t15948aep|PCTL_MOUSE
t24507aep|V219_FOWPN
t20674aep|WDR54_MOUSE
t16643aep|PRSS8_MOUSE
t2040aep|SYT16_HUMAN
t2059aep|PRFA_POLPE
t12799aep|T11L2_BOVIN
t7845aep|KLDC2_HUMAN
t3991aep|NCAH_DROME
t11296aep|NAS14_CAEEL
t28641aep|DAG1_BOVIN
t4338aep|COMA_CONMA
t7435aep|CIB1_SHEEP
t4339aep|CHAC1_MOUSE
t14296aep|LIN41_DANRE
t14269aep|ACHA9_HUMAN
t6865aep|CNRP1_MOUSE
t9902aep|GSHB_XENLA
t7431aep|DUPD1_ANOCA
t16480aep|PPR27_MOUSE
t7432aep|BOULE_DROME
t6036aep|BAF_DANRE
t7436aep|SLB2_DEIAC
t7422aep|MOS_PATPE
t25942aep|TKFC_HUMAN
t25948aep|LOXH1_MOUSE
t19452aep|LTBP4_HUMAN
t19702aep|NIM1_HUMAN
t15525aep|NECB_HYDVU
t15556aep|AMPN_CHICK
t15549aep|AMID_ECOLI
t15544aep|MYPH_ECHGR
t1705aep|VILI_CHICK
t1695aep|NCKX5_HUMAN
t19382aep|WIPI2_CHICK
t19406aep|THSD1_HUMAN
t10535aep|LAMC1_HUMAN
t10543aep|KCD16_MOUSE
t10569aep|TM189_HUMAN
t10561aep|VIAAT_XENTR
t10540aep|CAH7_HUMAN
t16009aep|DDR2_MOUSE
t9592aep|RFC2_MOUSE
t9581aep|CELR1_HUMAN
t9585aep|MYL6B_HUMAN
t9591aep|YQK1_SCHPO
t9595aep|TPP1_RAT
t9610aep|ZFYV1_HUMAN
t28943aep|BCAL2_ARATH
t4034aep|FA2H_RAT
t21994aep|PRY1_YEAST
t28949aep|SIK2_CHICK
t21981aep|CAB32_DROME
t7533aep|NPY1R_HUMAN
t7508aep|KCNG4_MOUSE
t7530aep|CDPKL_ARATH
t21387aep|SYT7_HUMAN
t26526aep|DRGX_RAT
t12840aep|P4HA1_CAEEL
t12478aep|B3GN4_HUMAN
t9507aep|T23O_AEDAE
t26837aep|CALM_PLAFA
t25411aep|ACH10_CHICK
t25412aep|OPSO_SALSA
t4501aep|ZSWM4_HUMAN
t11599aep|DMTA2_DANRE
t11591aep|ZN333_HUMAN
t11585aep|H2BL1_PSAMI
t11600aep|R4RL2_RAT
t7219aep|MYLIP_RAT
t7224aep|CNPY4_HUMAN
t28757aep|HXD3_XENLA
t27209aep|FOXJ3_HUMAN
t16997aep|FOX1_CAEEL
t21501aep|GPC6_MOUSE
t4956aep|WDR86_HUMAN
t25594aep|TMM26_HUMAN
t8325aep|SYT7_HUMAN
t29016aep|KI13A_HUMAN
t29019aep|TCB1_CAEBR
t11335aep|BRN3_CHICK
t27330aep|DAAF1_HUMAN
t27332aep|G3ST1_BOVIN
t29678aep|BIG3_HUMAN
t19587aep|LRC28_BOVIN
t19593aep|SPAN_STRPU
t28832aep|COEA1_MOUSE
t16296aep|NAS4_CAEEL
t31129aep|CCD40_HUMAN
t23690aep|OTOP2_MOUSE
t24304aep|GAPR1_HUMAN
t22555aep|TMM26_MOUSE
t12348aep|DJB13_HUMAN
t12323aep|G137B_HUMAN
t2168aep|ASL1A_DANRE
t2183aep|TBB1_BRUPA
t27653aep|EHF_BOVIN
t24409aep|EMP1_PONAB
t2177aep|SAD1_CAEEL
t13420aep|IASPP_CAEEL
t16435aep|ING4_CHICK
t16424aep|MMP24_RAT
t16434aep|ODF3A_XENLA
t16437aep|TBCD7_DANRE
t16426aep|SYT11_RAT
t16423aep|ECE1_RAT
t16441aep|XYLT1_HUMAN
t15339aep|MLP_ACRMI
t14481aep|FGRL1_CHICK
t14440aep|TBA1C_HUMAN
t14468aep|PLC_STAAE
t28484aep|NHL1_CAEEL
t14457aep|CALM_FAGSY
t14461aep|GIPC1_RAT
t14478aep|CAS4_EPHMU
t14443aep|CAPA_BACSU
t14477aep|CO1A2_ONCMY
t3416aep|BP10_PARLI
t3451aep|NAS15_CAEEL
t8471aep|KLKB1_RAT
t8458aep|DCAM_XENLA
t8479aep|INX3_DROME
t8473aep|NECX_APLCA
t8422aep|PTN22_HUMAN
t8421aep|TRAF5_MOUSE
t26638aep|CHSTB_MOUSE
t5949aep|LRC15_RAT
t15465aep|CER1_HUMAN
t15451aep|COMA_CONMA
t28673aep|CHI3_CANAL
t28670aep|KCNG2_CHICK
t21413aep|OPN4_PHOSU
t21419aep|SYN2_MOUSE
t21447aep|FKB14_PONAB
t21436aep|GATA2_XENLA
t30422aep|KRP95_STRPU
t30418aep|RAB1B_MACFA
t30301aep|BLC_VIBCH
t30309aep|MYO6_CHICK
t24938aep|CAC1B_MOUSE
t24937aep|ABD12_DANRE
t29555aep|LOX5_HUMAN
t37646aep
t37649aep
t36050aep
t35899aep
t31840aep
t38106aep
t33736aep
t37378aep
t33086aep
t38016aep
t33581aep
t33579aep
t37009aep
t31644aep
t34437aep
t34795aep
t32259aep
t35080aep
t35089aep
t35076aep
t35088aep
t35404aep
t33698aep
t33697aep
t35854aep
t35203aep
t35205aep
t35202aep
t32629aep
t33651aep
t33661aep
t33902aep
t33899aep
t33619aep
t31715aep
t33186aep
t36582aep
t36575aep
t34753aep
t34578aep
t34575aep
t34567aep
t38470aep
t36274aep
t38665aep
t38663aep
t34556aep
t34562aep
t35303aep
t37103aep
t34993aep
t34995aep
t31901aep
t38181aep
t33159aep
t34086aep
t36925aep
t35016aep
t32097aep
t36037aep
t36027aep
t32141aep
t32146aep
t38436aep
t38448aep
t36748aep
t36742aep
t38609aep
t34478aep
t34479aep
t34672aep
t37715aep
t37719aep
t32499aep
t37003aep
t37000aep
t37008aep
t35143aep
t37976aep
t33500aep
t38568aep
t31281aep
t31937aep
t32735aep
t32748aep
t33598aep
t32380aep
t38413aep
t38496aep
t38505aep
t31726aep
t31738aep
t33122aep
t32274aep
t32338aep
t32878aep
t37686aep
t37678aep
t37408aep
t37424aep
t32190aep
t32199aep
t38726aep
t37754aep
t37744aep
t37747aep
t33070aep
t33036aep
t33064aep
t32598aep
t35669aep
t35682aep
t37794aep
t37789aep
t35802aep
t34512aep
t34527aep
t37139aep
t36803aep
t36108aep
t36119aep
t31323aep
t31342aep
t31355aep
t31325aep
t37298aep
t31487aep
t31530aep
t31505aep
t34423aep
t34368aep
t31243aep
t32525aep
t32538aep
t32562aep
t32554aep
t32577aep
t31998aep
t32041aep
t32008aep
t31989aep
t35507aep
t35467aep
t35495aep
t35504aep
t35464aep
t37564aep
t37523aep
t37576aep
t37530aep
t37540aep
t32979aep
t33021aep
t35596aep
t34274aep
t34200aep
t34252aep
t34253aep
t34273aep
t34275aep
t34269aep
t37891aep
t37905aep
t37907aep
t37921aep
t37872aep
t37866aep
t37353aep
t36704aep
t34842aep
t36710aep
t33373aep
t38326aep
t36427aep
t31762aep
t33170aep
t35024aep
t38404aep
t36841aep
t34741aep
t34614aep
t34312aep
t31474aep
t33310aep
t34747aep
t35258aep
t34945aep
t33526aep
